id,dex_number,region,slug,description,credit,enabled,catchable,abundance,gender_rate,has_gender_differences,name.ja,name.ja_r,name.ja_t,name.en,name.en2,name.de,name.fr,type.0,type.1,mythical,legendary,ultra_beast,event,height,weight,evo.to,evo.from,base.hp,base.atk,base.def,base.satk,base.sdef,base.spd,evo.mega,evo.mega_x,evo.mega_y,is_form,form_item
1,1,kanto,bulbasaur,"For some time after its birth, it grows by taking nourishment from the seed on its back.",,1,1,512,1,0,フシギダネ,Fushigidane,Fushigidane,Bulbasaur,,Bisasam,Bulbizarre,Grass,Poison,,,,,7,69,2,,45,49,49,65,65,45,,,,,
2,2,kanto,ivysaur,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.",,1,1,256,1,0,フシギソウ,Fushigisō,Fushigisou,Ivysaur,,Bisaknosp,Herbizarre,Grass,Poison,,,,,10,130,3,1,60,62,63,80,80,60,,,,,
3,3,kanto,venusaur,"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.",,1,1,96,1,1,フシギバナ,Fushigibana,Fushigibana,Venusaur,,Bisaflor,Florizarre,Grass,Poison,,,,,20,1000,,2,80,82,83,100,100,80,10033,,,,
4,4,kanto,charmander,"The fire on the tip of its tail is a measure of its life. If the Pokémon is healthy, its tail burns intensely.",,1,1,512,1,0,ヒトカゲ,Hitokage,Hitokage,Charmander,,Glumanda,Salamèche,Fire,,,,,,6,85,5,,39,52,43,60,50,65,,,,,
5,5,kanto,charmeleon,"In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars.",,1,1,256,1,0,リザード,Rizādo,Lizardo,Charmeleon,,Glutexo,Reptincel,Fire,,,,,,11,190,6,4,58,64,58,80,65,80,,,,,
6,6,kanto,charizard,It is said that Charizard’s fire burns hotter if it has experienced harsh battles.,,1,1,96,1,0,リザードン,Rizādon,Lizardon,Charizard,,Glurak,Dracaufeu,Fire,Flying,,,,,17,905,,5,78,84,78,109,85,100,,10034,10035,,
7,7,kanto,squirtle,"It hides in its shell to protect itself, then strikes back with spouts of water at every opportunity.",,1,1,512,1,0,ゼニガメ,Zenigame,Zenigame,Squirtle,,Schiggy,Carapuce,Water,,,,,,5,90,8,,44,48,65,50,64,43,,,,,
8,8,kanto,wartortle,"It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.",,1,1,256,1,0,カメール,Kamēru,Kameil,Wartortle,,Schillok,Carabaffe,Water,,,,,,10,225,9,7,59,63,80,65,80,58,,,,,
9,9,kanto,blastoise,The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.,,1,1,96,1,0,カメックス,Kamekkusu,Kamex,Blastoise,,Turtok,Tortank,Water,,,,,,16,855,,8,79,83,100,85,105,78,10036,,,,
10,10,kanto,caterpie,It releases a stench from its red antennae to repel enemies. It grows by molting repeatedly.,,1,1,1536,4,0,キャタピー,Kyatapī,Caterpie,Caterpie,,Raupy,Chenipan,Bug,,,,,,3,29,11,,45,30,35,20,20,45,,,,,
11,11,kanto,metapod,A steel-hard shell protects its tender body. The Pokémon quietly endures hardships while awaiting evolution.,,1,1,384,4,0,トランセル,Toranseru,Transel,Metapod,,Safcon,Chrysacier,Bug,,,,,,7,99,12,10,50,20,55,25,25,30,,,,,
